iter	RMSE
128	0.3451905627
129	0.3419669662
130	0.3386785032
131	0.33707602
132	0.3339239942
133	0.3309192188
134	0.3293184235
135	0.3263653257
136	0.3231362248
137	0.3205625246
138	0.3174886142
139	0.3155554803
140	0.3132578342
141	0.3123109634
142	0.3101165017
143	0.3067353255
144	0.3058619439
145	0.3035559843
146	0.3011619879
147	0.299016357
148	0.2965956868
149	0.2943538952
150	0.2924019957
151	0.2903453236
152	0.2880655121
153	0.2873615233
154	0.2851253038
155	0.2844555503
156	0.2825342532
157	0.2818145967
158	0.2794625781
159	0.278785376
160	0.2774120786
161	0.2765053136
162	0.2750368385
163	0.2744255026
164	0.2734450351
165	0.2728566581
166	0.2714054661
167	0.2697674179
168	0.2692019309
169	0.2681427954
170	0.2673244818
171	0.2655188823
172	0.264421236
173	0.2638032837
174	0.263180318
175	0.2624923618
176	0.2615314389
177	0.2609957319
178	0.2604160231
179	0.2599122848
180	0.2594026362
181	0.2589212634
182	0.258384891
183	0.2579800341
184	0.2566336356
185	0.2553533752
186	0.2549917641
187	0.2545782759
188	0.2541791533
189	0.2529440785
190	0.2522925352
191	0.2518239048
192	0.2514296691
193	0.2498845136
194	0.2483273423
195	0.2471040732
196	0.2465382675
197	0.2460475048
198	0.2455366327
199	0.2451780589
200	0.2448742191
201	0.2446034784
202	0.2442597624
203	0.2438915722
204	0.2435319549
205	0.2417055999
206	0.2414556533
207	0.2411706864
208	0.2407679644
209	0.2402383563
210	0.2399675168
211	0.2396986952
212	0.2394614715
213	0.239026755
214	0.238776918
215	0.2384841522
216	0.23824257
217	0.237797785
218	0.2368766026
219	0.2366482714
220	0.2364242391
221	0.2362044274
222	0.2359494965
223	0.2357005638
224	0.2354943968
225	0.2352559067
226	0.2346037967
227	0.2332381517
228	0.2330120409
229	0.2328243787
230	0.2326077703
231	0.2323962587
232	0.2312532884
233	0.2304691816
234	0.2291929273
235	0.2276581481
236	0.2272380141
237	0.2270480342
238	0.2268625221
239	0.2258901616
240	0.2250658943
241	0.223617303
242	0.2234426628
243	0.2231599881
244	0.2229933686
245	0.2227227353
246	0.2213543625
247	0.2205174948
248	0.2203625406
249	0.2194390264
250	0.2192899787
251	0.2191444398
252	0.2190023237
253	0.2181808578
254	0.217345637
255	0.2172114348
256	0.2162206278
257	0.2155371128
258	0.2152347317
259	0.2143012211
260	0.2138720508
261	0.2134541227
262	0.2130591754
263	0.2126794944
264	0.2119729703
265	0.2117156766
266	0.2114774044
267	0.211246941
268	0.2110240135
269	0.2103774658
270	0.2100520228
271	0.2099165313
272	0.2096056208
273	0.2088025282
274	0.2086098317
275	0.2083156821
276	0.2078858318
277	0.207761773
278	0.2074879625
279	0.2072398831
280	0.2065231385
281	0.2064146275
282	0.2063087083
283	0.2061169364
284	0.2060116502
285	0.2057923448
286	0.2055832838
287	0.2054902767
288	0.2049890964
289	0.2045298246
290	0.2037868986
291	0.2036115153
292	0.2034871869
293	0.2033007629
294	0.2032183246
295	0.2031378387
296	0.203059257
297	0.2026139685
298	0.2021645015
299	0.201410769
300	0.2013364318
301	0.201263855
302	0.2011929952
303	0.2011238099
304	0.2010262215
305	0.2009515095
306	0.2001951112
307	0.1998153561
308	0.1997237897
309	0.1991217203
310	0.1987853577
311	0.1980152652
312	0.1975879625
313	0.1975276331
314	0.1968873332
315	0.1968288183
316	0.1965125072
317	0.1964560555
318	0.1964009473
319	0.1959608982
320	0.1952580183
321	0.1946447213
322	0.1939668042
323	0.193573732
324	0.1931588549
325	0.1923634055
326	0.1920144371
327	0.1914668948
328	0.1914160338
329	0.1909207606
330	0.1901291074
331	0.1898080014
332	0.1892084925
333	0.1886480207
334	0.18860009
335	0.1879877004
336	0.1876109505
337	0.187075514
338	0.1867702409
339	0.1866966606
340	0.1862411303
341	0.1859602211
342	0.1852792743
343	0.1847878517
344	0.1846853419
345	0.18444249
346	0.1839083878
347	0.1833189351
348	0.1831409331
349	0.1827536603
350	0.1821995502
351	0.1818542227
352	0.1816739755
353	0.1812793875
354	0.180848169
355	0.1804195459
356	0.1801311538
357	0.1800539339
358	0.1800157474
359	0.1796550616
360	0.1791783163
361	0.1789088074
362	0.1783439768
363	0.1779684638
364	0.1775847839
365	0.1771275236
366	0.177088219
367	0.1769672846
368	0.1765388568
369	0.176176684
370	0.1756653021
371	0.1752340911
372	0.1748694954
373	0.1745074556
374	0.1741118226
375	0.1737906633
376	0.1734159259
377	0.1729072396
378	0.1724728643
379	0.1720664525
380	0.1718282719
381	0.1713381012
382	0.1709869213
383	0.1707765402
384	0.1704362321
385	0.1699799423
386	0.1697432917
387	0.1695293239
388	0.1691804828
389	0.1689809823
390	0.168521615
391	0.1681725196
392	0.1678538649
393	0.1674680418
394	0.1671155047
395	0.1666625657
396	0.1664089507
397	0.166069672
398	0.1656156969
399	0.1655147262
400	0.1651645304
401	0.1647954015
402	0.1647350105
403	0.1642855819
404	0.1639668886
405	0.1636451885
406	0.1633654849
407	0.162994333
408	0.1626098754
409	0.1624857067
410	0.1622641249
411	0.1618923952
412	0.1616165785
413	0.16150013
414	0.1614047029
415	0.1610982431
416	0.1607962174
417	0.1605270195
418	0.1601792641
419	0.1598207633
420	0.1597181148
421	0.1595505376
422	0.1594601741
423	0.1591627542
424	0.1589365152
425	0.1585290375
426	0.1581515848
427	0.1577823941
428	0.1575043587
429	0.1571311051
430	0.1569863456
431	0.1566726161
432	0.1566524975
433	0.1563024048
434	0.1559355366
435	0.1558592334
436	0.1557589769
437	0.1555110977
438	0.1553606875
439	0.1548096285
440	0.1544721776
441	0.1540771372
442	0.1539318213
443	0.1537959529
444	0.1535709843
445	0.1534297396
446	0.1531741641
447	0.1529287818
448	0.1527093791
449	0.1523812853
450	0.1522595373
451	0.1518802159
452	0.1516705136
453	0.1514696862
454	0.1513419756
455	0.1510436944
456	0.1506965053
457	0.1504016392
458	0.1499557057
459	0.1496484672
460	0.1494919538
461	0.1490930169
462	0.149046037
463	0.1486293282
464	0.1484373447
465	0.1481475053
466	0.1478866992
467	0.1475117808
468	0.1474657448
469	0.1471745685
470	0.1470619699
471	0.1467133841
472	0.1465540388
473	0.146201442
474	0.1459353307
475	0.1456906935
476	0.1454505844
477	0.1452513075
478	0.1450186346
479	0.1447530511
480	0.1445545626
481	0.1442230693
482	0.1440368133
483	0.1439679956
484	0.1438028142
485	0.1437571501
486	0.1434950945
487	0.1433032411
488	0.1432707778
489	0.1429992378
490	0.1426789869
491	0.1424778783
492	0.1422167236
493	0.1419394787
494	0.1417386458
495	0.1415781109
496	0.1412421598
497	0.1410137594
498	0.1407800749
499	0.1406077248
500	0.1403253532
501	0.1402104384
502	0.1400133583
503	0.1396988414
504	0.139641403
505	0.1395984711
506	0.1394100918
507	0.1391111501
508	0.138796725
509	0.1386094746
510	0.1383809906
511	0.1380724439
512	0.1380343392
513	0.1377408404
514	0.1374988055
515	0.137216334
516	0.1369712318
517	0.136794731
518	0.1366960646
519	0.136522345
520	0.1362604698
521	0.136025696
522	0.1356838354
523	0.1354308288
524	0.1352187572
525	0.1350448452
526	0.1347275505
527	0.1345091581
528	0.1343598641
529	0.1340934452
530	0.13399031
531	0.1338402042
532	0.1338104
533	0.1334853681
534	0.1334504665
535	0.1334231297
536	0.1331094029
537	0.1327893723
538	0.132463482
539	0.1323055742
540	0.1322908787
541	0.1321074257
542	0.1319344946
543	0.1318806871
544	0.1316584028
545	0.1314143789
546	0.1311677419
547	0.1309613884
548	0.1307333786
549	0.130482439
550	0.1302256494
551	0.130026224
552	0.1297968506
553	0.1295622469
554	0.1295321832
555	0.1292293487
556	0.1291195166
557	0.1288532094
558	0.1286157355
559	0.1283945906
560	0.1281821737
561	0.1280160405
562	0.1277802209
563	0.1277710023
564	0.1275934844
565	0.1274195984
566	0.1273038277
567	0.1272591271
568	0.1269144953
569	0.1267342264
570	0.1265802523
571	0.1264999486
572	0.1263212869
573	0.1261603158
574	0.1259287596
575	0.1257698982
576	0.1257380392
577	0.1255207731
578	0.1252421225
579	0.1249933334
580	0.1248317364
581	0.1248177365
582	0.1246146082
583	0.1244142395
584	0.1241778815
585	0.1239410879
586	0.123858305
587	0.1238230745
588	0.1235975988
589	0.1234345602
590	0.123341368
591	0.1233080283
592	0.1230782858
593	0.1228826086
594	0.1226851353
595	0.1226724107
596	0.1225416507
597	0.12225137
598	0.1222235045
599	0.1220592715
600	0.1218804902
601	0.121714103
602	0.1215320217
603	0.1213295053
604	0.1212466288
605	0.120942611
606	0.1208177571
607	0.120649633
608	0.1206198967
609	0.1206035561
610	0.1203880446
611	0.1203623318
612	0.1202769923
613	0.1201905222
614	0.1199174834
615	0.1198927254
616	0.1198639796
617	0.1195414662
618	0.1194586907
619	0.1193288387
620	0.1191399676
621	0.118978883
622	0.1188874974
623	0.118681924
624	0.1184654855
625	0.1182270308
626	0.1180195436
627	0.1177370958
628	0.1174621873
629	0.1174336147
630	0.1172612365
631	0.1171142255
632	0.1169359754
633	0.1168621009
634	0.1167526926
635	0.116619033
636	0.1164228325
637	0.1162546969
638	0.1161082436
639	0.1159196851
640	0.1158955549
641	0.1157508166
642	0.1155138349
643	0.1153048136
644	0.1152788656
645	0.1150917936
646	0.1149258601
647	0.1147837163
648	0.1145843994
649	0.1145228107
650	0.1145123546
651	0.1143566064
652	0.1141727337
653	0.1140977692
654	0.1139288911
655	0.1137305151
656	0.113603355
657	0.1134074262
658	0.1132706072
659	0.1130889277
660	0.112984967
661	0.1129316386
662	0.112738906
663	0.1125686679
664	0.1124923842
665	0.1124307642
666	0.1123657972
667	0.1121537703
668	0.1119250568
669	0.1118801554
670	0.1116895995
671	0.1114496759
672	0.1112412943
673	0.1110990746
674	0.1109711586
675	0.1108179074
676	0.110616563
677	0.1104701264
678	0.1103118815
679	0.1100947746
680	0.1099378427
681	0.1097169269
682	0.109592114
683	0.1095284387
684	0.1093940384
685	0.1093332769
686	0.109170072
687	0.1090223522
688	0.1089666239
689	0.1088113215
690	0.1086993045
691	0.1085892048
692	0.108402018
693	0.1082511196
694	0.1081813193
695	0.1080305047
696	0.1078728429
697	0.1076868042
698	0.107613508
699	0.1074215809
700	0.1073678038
701	0.1072968453
702	0.1072574607
703	0.1070099174
704	0.1068297462
705	0.1066603198
706	0.1064793635
707	0.1063505573
708	0.106174429
709	0.1060676316
710	0.1059010495
711	0.1058034902
712	0.1055359079
713	0.1054271823
714	0.1052639231
715	0.1050965618
716	0.1050863175
717	0.1049233551
718	0.1047705427
719	0.104640405
720	0.10449523
721	0.1043640062
722	0.1043363595
723	0.1042629264
724	0.1041918426
725	0.1040081336
726	0.1038765735
727	0.1037298442
728	0.103588482
729	0.1034393806
730	0.1032823284
731	0.1032312921
732	0.103223599
733	0.1031668939
734	0.1030013546
735	0.102947699
736	0.1027880897
737	0.1026529808
738	0.1026446597
739	0.1024798467
740	0.1022296051
741	0.1021061031
742	0.1020095402
743	0.1017923444
744	0.1017517161
745	0.1016178499
746	0.1014608172
747	0.1013409772
748	0.1011987629
749	0.1010788723
750	0.1010090237
751	0.1008253292
752	0.1007410653
753	0.1006892466
754	0.1005620151
755	0.1004085256
756	0.1002705464
757	0.1001027729
758	0.100060926
759	0.09991692677
760	0.09977485146
761	0.09973823193
762	0.0996272294
763	0.09958072275
764	0.09941934639
765	0.09932760743
766	0.09919969306
767	0.09906425145
768	0.09893060675
769	0.09883315236
770	0.09868758734
771	0.09850518208
772	0.09839574993
773	0.09833313204
774	0.09820316269
775	0.0980390983
776	0.0978921745
777	0.09784582237
778	0.09776909309
779	0.09763159208
780	0.09762289274
781	0.09751077016
782	0.09739050372
783	0.09726465512
784	0.09713086535
785	0.09697122616
786	0.09683872428
787	0.09674776041
788	0.09662145155
789	0.09650640114
790	0.09643933266
791	0.09642754838
792	0.09633828488
793	0.09632474797
794	0.09621067194
795	0.09609448237
796	0.09592405733
797	0.09588032412
798	0.09568694251
799	0.09558909971
800	0.09545286453
801	0.09527722037
802	0.09525928652
803	0.09511156611
804	0.09498706364
805	0.09490440116
806	0.09479559141
807	0.09466424488
808	0.09460962396
809	0.09447169582
810	0.09441451481
811	0.09425546541
812	0.09407514707
813	0.09407007381
814	0.09392095383
815	0.0937587444
816	0.09365938989
817	0.09356557879
818	0.09350142735
819	0.0934915413
820	0.09333514658
821	0.09318788255
822	0.0930717055
823	0.09292519261
824	0.09277372651
825	0.09265256722
826	0.09257489516
827	0.0923994414
828	0.09228716882
829	0.0922448004
830	0.09219103503
831	0.09204240631
832	0.09193014252
833	0.09176538291
834	0.09172365265
835	0.09167909534
836	0.09154397045
837	0.09146060024
838	0.09135786219
839	0.09120695239
840	0.09115443619
841	0.0911479016
842	0.09103009336
843	0.09084832632
844	0.09073285853
845	0.09065321214
846	0.09055777736
847	0.09043503216
848	0.09034276616
849	0.09030573753
850	0.09024616097
851	0.09017233312
852	0.09006689233
853	0.08992951746
854	0.0898426423
855	0.08972442201
856	0.08959785675
857	0.08946561196
858	0.08944094422
859	0.08936699058
860	0.08935262671
861	0.08932112179
862	0.08921881665
863	0.08904224408
864	0.08893469359
865	0.08883122063
866	0.08873404731
867	0.08872848958
868	0.08860823526
869	0.0884068516
870	0.08832162773
871	0.08830791989
872	0.08821826124
873	0.08810807016
874	0.0879728036
875	0.08788554242
876	0.08780668411
877	0.08778224634
878	0.08777394855
879	0.08761433835
880	0.08748560788
881	0.08730269203
882	0.08720431823
883	0.08704405609
884	0.08700811252
885	0.08689651411
886	0.08680008401
887	0.08672757813
888	0.08662733015
889	0.08648157702
890	0.08639224855
891	0.08638796352
892	0.08626113187
893	0.08614502423
894	0.08607702119
895	0.08593401591
896	0.08592858321
897	0.08585884818
898	0.08572657153
899	0.08572281308
900	0.08559516215
901	0.08543196141
902	0.08526226165
903	0.08513080282
904	0.08509562763
905	0.08501557155
906	0.08497343011
907	0.08487254817
908	0.08480439582
909	0.0846908901
910	0.08458472938
911	0.08450268246
912	0.08441293889
913	0.08427828852
914	0.08422576997
915	0.08419475042
916	0.08408569176
917	0.08395527922
918	0.08382613597
919	0.08373920504
920	0.08362185169
921	0.08353051632
922	0.08347862682
923	0.08344468949
924	0.08343109353
925	0.08333589618
926	0.08318704735
927	0.08306291014
928	0.08299074043
929	0.08296618384
930	0.08278058109
931	0.08270200202
932	0.08266061962
933	0.08263087841
934	0.08251549388
935	0.08246864129
936	0.0823745202
937	0.08222780139
938	0.08221199635
939	0.08208867128
940	0.08198967412
941	0.08189953195
942	0.08182965498
943	0.08168935393
944	0.08165040447
945	0.08156181266
946	0.08145544245
947	0.08131069165
948	0.08123572143
949	0.08118585877
950	0.08103776472
951	0.08098727619
952	0.08095392185
953	0.0807958339
954	0.08075783412
955	0.08065695039
956	0.08057972253
957	0.08046805199
958	0.08041342055
959	0.08025534386
960	0.08015171533
961	0.08004668049
962	0.07998262502
963	0.07991673294
964	0.07983724202
965	0.07970758268
966	0.07965520448
967	0.07958053657
968	0.07947629133
969	0.07938356699
970	0.07930479213
971	0.07921908032
972	0.07919211068
973	0.07908591411
974	0.07897014585
975	0.07893961413
976	0.07889909325
977	0.07883282948
978	0.07869293704
979	0.07856374216
980	0.07855908213
981	0.07855459527
982	0.07841447087
983	0.07829795453
984	0.07817702355
985	0.07809808868
986	0.07802231273
987	0.07794511684
988	0.07782520715
989	0.07768795813
990	0.07768373887
991	0.07755255836
992	0.07748304272
993	0.07747046323
994	0.07739281232
995	0.07735570291
996	0.07725913052
997	0.07717198117
998	0.07711960459
999	0.07708208901
